LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,HUR,TOT,PC_LF,A,2012,7.4
CAN,HUR,TOT,PC_LF,A,2013,7.15
CAN,HUR,TOT,PC_LF,A,2014,7.033333
CAN,HUR,TOT,PC_LF,A,2015,6.941667
CAN,HUR,TOT,PC_LF,A,2016,7.025
CAN,HUR,TOT,PC_LF,A,2017,6.425
CAN,HUR,TOT,PC_LF,A,2018,5.841667
CAN,HUR,TOT,PC_LF,A,2019,5.691667
CAN,HUR,TOT,PC_LF,A,2020,9.691667
CAN,HUR,TOT,PC_LF,A,2021,7.541667
CAN,HUR,TOT,PC_LF,A,2022,5.3
FRA,HUR,TOT,PC_LF,A,1983,8.758333
FRA,HUR,TOT,PC_LF,A,1984,10.05
FRA,HUR,TOT,PC_LF,A,1985,10.38333
FRA,HUR,TOT,PC_LF,A,1986,10.55
FRA,HUR,TOT,PC_LF,A,1987,10.65
FRA,HUR,TOT,PC_LF,A,1988,10.06667
FRA,HUR,TOT,PC_LF,A,1989,9.675
FRA,HUR,TOT,PC_LF,A,1990,9.366667
FRA,HUR,TOT,PC_LF,A,1991,9.625
FRA,HUR,TOT,PC_LF,A,1992,10.64167
FRA,HUR,TOT,PC_LF,A,1993,11.825
FRA,HUR,TOT,PC_LF,A,1994,12.275
FRA,HUR,TOT,PC_LF,A,1995,11.95
FRA,HUR,TOT,PC_LF,A,1996,12.4
FRA,HUR,TOT,PC_LF,A,1997,12.33333
FRA,HUR,TOT,PC_LF,A,1998,12.05
FRA,HUR,TOT,PC_LF,A,1999,11.31667
FRA,HUR,TOT,PC_LF,A,2000,9.558333
FRA,HUR,TOT,PC_LF,A,2001,8.741667
FRA,HUR,TOT,PC_LF,A,2002,8.633333
FRA,HUR,TOT,PC_LF,A,2003,8.508333
FRA,HUR,TOT,PC_LF,A,2004,8.9
FRA,HUR,TOT,PC_LF,A,2005,8.883333
FRA,HUR,TOT,PC_LF,A,2006,8.85
FRA,HUR,TOT,PC_LF,A,2007,8.016666
FRA,HUR,TOT,PC_LF,A,2008,7.433333
FRA,HUR,TOT,PC_LF,A,2009,9.116667
FRA,HUR,TOT,PC_LF,A,2010,9.275
FRA,HUR,TOT,PC_LF,A,2011,9.216666
FRA,HUR,TOT,PC_LF,A,2012,9.758333
FRA,HUR,TOT,PC_LF,A,2013,10.3
FRA,HUR,TOT,PC_LF,A,2014,10.275
FRA,HUR,TOT,PC_LF,A,2015,10.35
FRA,HUR,TOT,PC_LF,A,2016,10.06667
FRA,HUR,TOT,PC_LF,A,2017,9.425
FRA,HUR,TOT,PC_LF,A,2018,9.025
FRA,HUR,TOT,PC_LF,A,2019,8.433333
FRA,HUR,TOT,PC_LF,A,2020,8.033334
FRA,HUR,TOT,PC_LF,A,2021,7.875
FRA,HUR,TOT,PC_LF,A,2022,7.316667
DEU,HUR,TOT,PC_LF,A,1991,5.525
DEU,HUR,TOT,PC_LF,A,1992,6.566667
DEU,HUR,TOT,PC_LF,A,1993,7.791667
DEU,HUR,TOT,PC_LF,A,1994,8.45
DEU,HUR,TOT,PC_LF,A,1995,8.25
DEU,HUR,TOT,PC_LF,A,1996,8.941667
DEU,HUR,TOT,PC_LF,A,1997,9.675
DEU,HUR,TOT,PC_LF,A,1998,9.45
DEU,HUR,TOT,PC_LF,A,1999,8.625
DEU,HUR,TOT,PC_LF,A,2000,8.008333
DEU,HUR,TOT,PC_LF,A,2001,7.858333
DEU,HUR,TOT,PC_LF,A,2002,8.683333
DEU,HUR,TOT,PC_LF,A,2003,9.808333
DEU,HUR,TOT,PC_LF,A,2004,10.5
DEU,HUR,TOT,PC_LF,A,2005,11.28333
DEU,HUR,TOT,PC_LF,A,2006,10.275
DEU,HUR,TOT,PC_LF,A,2007,8.541667
DEU,HUR,TOT,PC_LF,A,2008,7.425
DEU,HUR,TOT,PC_LF,A,2009,7.225
DEU,HUR,TOT,PC_LF,A,2010,6.575
DEU,HUR,TOT,PC_LF,A,2011,5.516667
DEU,HUR,TOT,PC_LF,A,2012,5.083333
DEU,HUR,TOT,PC_LF,A,2013,4.95
DEU,HUR,TOT,PC_LF,A,2014,4.708333
DEU,HUR,TOT,PC_LF,A,2015,4.366667
DEU,HUR,TOT,PC_LF,A,2016,3.908333
DEU,HUR,TOT,PC_LF,A,2017,3.566667
DEU,HUR,TOT,PC_LF,A,2018,3.208333
DEU,HUR,TOT,PC_LF,A,2019,2.975
DEU,HUR,TOT,PC_LF,A,2020,3.625
DEU,HUR,TOT,PC_LF,A,2021,3.575
DEU,HUR,TOT,PC_LF,A,2022,3.066667
ITA,HUR,TOT,PC_LF,A,1983,7.366667
ITA,HUR,TOT,PC_LF,A,1984,7.833333
ITA,HUR,TOT,PC_LF,A,1985,8.141666
ITA,HUR,TOT,PC_LF,A,1986,8.883333
ITA,HUR,TOT,PC_LF,A,1987,9.633333
ITA,HUR,TOT,PC_LF,A,1988,9.7
ITA,HUR,TOT,PC_LF,A,1989,9.7
ITA,HUR,TOT,PC_LF,A,1990,8.866667
ITA,HUR,TOT,PC_LF,A,1991,8.516666
ITA,HUR,TOT,PC_LF,A,1992,8.791667
ITA,HUR,TOT,PC_LF,A,1993,9.725
ITA,HUR,TOT,PC_LF,A,1994,10.65
ITA,HUR,TOT,PC_LF,A,1995,11.18333
ITA,HUR,TOT,PC_LF,A,1996,11.16667
ITA,HUR,TOT,PC_LF,A,1997,11.21667
ITA,HUR,TOT,PC_LF,A,1998,11.3
ITA,HUR,TOT,PC_LF,A,1999,10.86667
ITA,HUR,TOT,PC_LF,A,2000,10.05
ITA,HUR,TOT,PC_LF,A,2001,9.008333
ITA,HUR,TOT,PC_LF,A,2002,8.475
ITA,HUR,TOT,PC_LF,A,2003,8.433333
ITA,HUR,TOT,PC_LF,A,2004,8.05
ITA,HUR,TOT,PC_LF,A,2005,7.783333
ITA,HUR,TOT,PC_LF,A,2006,6.866667
ITA,HUR,TOT,PC_LF,A,2007,6.15
ITA,HUR,TOT,PC_LF,A,2008,6.775
ITA,HUR,TOT,PC_LF,A,2009,7.875
ITA,HUR,TOT,PC_LF,A,2010,8.541667
ITA,HUR,TOT,PC_LF,A,2011,8.508333
ITA,HUR,TOT,PC_LF,A,2012,10.88333
ITA,HUR,TOT,PC_LF,A,2013,12.36667
ITA,HUR,TOT,PC_LF,A,2014,12.825
ITA,HUR,TOT,PC_LF,A,2015,12
ITA,HUR,TOT,PC_LF,A,2016,11.75
ITA,HUR,TOT,PC_LF,A,2017,11.25833
ITA,HUR,TOT,PC_LF,A,2018,10.6
ITA,HUR,TOT,PC_LF,A,2019,9.933333
ITA,HUR,TOT,PC_LF,A,2020,9.3
ITA,HUR,TOT,PC_LF,A,2021,9.558333
ITA,HUR,TOT,PC_LF,A,2022,8.075
JPN,HUR,TOT,PC_LF,A,1955,2.508333
JPN,HUR,TOT,PC_LF,A,1956,2.291667
JPN,HUR,TOT,PC_LF,A,1957,1.925
JPN,HUR,TOT,PC_LF,A,1958,2.041667
JPN,HUR,TOT,PC_LF,A,1959,2.225
JPN,HUR,TOT,PC_LF,A,1960,1.625
JPN,HUR,TOT,PC_LF,A,1961,1.433333
JPN,HUR,TOT,PC_LF,A,1962,1.283333
JPN,HUR,TOT,PC_LF,A,1963,1.283333
JPN,HUR,TOT,PC_LF,A,1964,1.175
JPN,HUR,TOT,PC_LF,A,1965,1.216667
JPN,HUR,TOT,PC_LF,A,1966,1.308333
JPN,HUR,TOT,PC_LF,A,1967,1.258333
JPN,HUR,TOT,PC_LF,A,1968,1.183333
JPN,HUR,TOT,PC_LF,A,1969,1.125
JPN,HUR,TOT,PC_LF,A,1970,1.15
JPN,HUR,TOT,PC_LF,A,1971,1.225
JPN,HUR,TOT,PC_LF,A,1972,1.416667
JPN,HUR,TOT,PC_LF,A,1973,1.266667
JPN,HUR,TOT,PC_LF,A,1974,1.375
JPN,HUR,TOT,PC_LF,A,1975,1.891667
JPN,HUR,TOT,PC_LF,A,1976,2.008333
JPN,HUR,TOT,PC_LF,A,1977,2.025
JPN,HUR,TOT,PC_LF,A,1978,2.241667
JPN,HUR,TOT,PC_LF,A,1979,2.083333
JPN,HUR,TOT,PC_LF,A,1980,2.008333
JPN,HUR,TOT,PC_LF,A,1981,2.208333
JPN,HUR,TOT,PC_LF,A,1982,2.35
JPN,HUR,TOT,PC_LF,A,1983,2.658333
JPN,HUR,TOT,PC_LF,A,1984,2.708333
JPN,HUR,TOT,PC_LF,A,1985,2.616667
JPN,HUR,TOT,PC_LF,A,1986,2.758333
JPN,HUR,TOT,PC_LF,A,1987,2.85
JPN,HUR,TOT,PC_LF,A,1988,2.533333
JPN,HUR,TOT,PC_LF,A,1989,2.266667
JPN,HUR,TOT,PC_LF,A,1990,2.108333
JPN,HUR,TOT,PC_LF,A,1991,2.1
JPN,HUR,TOT,PC_LF,A,1992,2.15
JPN,HUR,TOT,PC_LF,A,1993,2.5
JPN,HUR,TOT,PC_LF,A,1994,2.891667
JPN,HUR,TOT,PC_LF,A,1995,3.15
JPN,HUR,TOT,PC_LF,A,1996,3.35
JPN,HUR,TOT,PC_LF,A,1997,3.4
JPN,HUR,TOT,PC_LF,A,1998,4.108333
JPN,HUR,TOT,PC_LF,A,1999,4.683333
JPN,HUR,TOT,PC_LF,A,2000,4.716667
JPN,HUR,TOT,PC_LF,A,2001,5.033333
JPN,HUR,TOT,PC_LF,A,2002,5.375
JPN,HUR,TOT,PC_LF,A,2003,5.258333
JPN,HUR,TOT,PC_LF,A,2004,4.716667
JPN,HUR,TOT,PC_LF,A,2005,4.425
JPN,HUR,TOT,PC_LF,A,2006,4.141667
JPN,HUR,TOT,PC_LF,A,2007,3.841667
JPN,HUR,TOT,PC_LF,A,2008,3.991667
JPN,HUR,TOT,PC_LF,A,2009,5.066667
JPN,HUR,TOT,PC_LF,A,2010,5.05
JPN,HUR,TOT,PC_LF,A,2011,4.583333
JPN,HUR,TOT,PC_LF,A,2012,4.35
JPN,HUR,TOT,PC_LF,A,2013,4.025
JPN,HUR,TOT,PC_LF,A,2014,3.591667
JPN,HUR,TOT,PC_LF,A,2015,3.375
JPN,HUR,TOT,PC_LF,A,2016,3.116667
JPN,HUR,TOT,PC_LF,A,2017,2.808333
JPN,HUR,TOT,PC_LF,A,2018,2.441667
JPN,HUR,TOT,PC_LF,A,2019,2.35
JPN,HUR,TOT,PC_LF,A,2020,2.775
JPN,HUR,TOT,PC_LF,A,2021,2.816667
JPN,HUR,TOT,PC_LF,A,2022,2.6
GBR,HUR,TOT,PC_LF,A,1983,10.775
GBR,HUR,TOT,PC_LF,A,1984,10.85
GBR,HUR,TOT,PC_LF,A,1985,11.175
GBR,HUR,TOT,PC_LF,A,1986,11.2
GBR,HUR,TOT,PC_LF,A,1987,10.275
GBR,HUR,TOT,PC_LF,A,1988,8.45
GBR,HUR,TOT,PC_LF,A,1989,7.075
GBR,HUR,TOT,PC_LF,A,1990,6.825
GBR,HUR,TOT,PC_LF,A,1991,8.6
GBR,HUR,TOT,PC_LF,A,1992,9.85
GBR,HUR,TOT,PC_LF,A,1993,10.4
GBR,HUR,TOT,PC_LF,A,1994,9.525
GBR,HUR,TOT,PC_LF,A,1995,8.65
GBR,HUR,TOT,PC_LF,A,1996,8.125
GBR,HUR,TOT,PC_LF,A,1997,7
GBR,HUR,TOT,PC_LF,A,1998,6.275
GBR,HUR,TOT,PC_LF,A,1999,5.975
GBR,HUR,TOT,PC_LF,A,2000,5.45
GBR,HUR,TOT,PC_LF,A,2001,5.075
GBR,HUR,TOT,PC_LF,A,2002,5.175
GBR,HUR,TOT,PC_LF,A,2003,5.025
GBR,HUR,TOT,PC_LF,A,2004,4.75
GBR,HUR,TOT,PC_LF,A,2005,4.8
GBR,HUR,TOT,PC_LF,A,2006,5.425
GBR,HUR,TOT,PC_LF,A,2007,5.325
GBR,HUR,TOT,PC_LF,A,2008,5.7
GBR,HUR,TOT,PC_LF,A,2009,7.625
GBR,HUR,TOT,PC_LF,A,2010,7.875
GBR,HUR,TOT,PC_LF,A,2011,8.125
GBR,HUR,TOT,PC_LF,A,2012,7.975
GBR,HUR,TOT,PC_LF,A,2013,7.6
GBR,HUR,TOT,PC_LF,A,2014,6.175
GBR,HUR,TOT,PC_LF,A,2015,5.35
GBR,HUR,TOT,PC_LF,A,2016,4.9
GBR,HUR,TOT,PC_LF,A,2017,4.425
GBR,HUR,TOT,PC_LF,A,2018,4.1
GBR,HUR,TOT,PC_LF,A,2019,3.825
GBR,HUR,TOT,PC_LF,A,2020,4.575
GBR,HUR,TOT,PC_LF,A,2021,4.525
GBR,HUR,TOT,PC_LF,A,2022,3.725
USA,HUR,TOT,PC_LF,A,1955,4.383333
USA,HUR,TOT,PC_LF,A,1956,4.141667
USA,HUR,TOT,PC_LF,A,1957,4.258333
USA,HUR,TOT,PC_LF,A,1958,6.8
USA,HUR,TOT,PC_LF,A,1959,5.475
USA,HUR,TOT,PC_LF,A,1960,5.508333
USA,HUR,TOT,PC_LF,A,1961,6.683333
USA,HUR,TOT,PC_LF,A,1962,5.541667
USA,HUR,TOT,PC_LF,A,1963,5.666667
USA,HUR,TOT,PC_LF,A,1964,5.191667
USA,HUR,TOT,PC_LF,A,1965,4.525
USA,HUR,TOT,PC_LF,A,1966,3.783333
USA,HUR,TOT,PC_LF,A,1967,3.841667
USA,HUR,TOT,PC_LF,A,1968,3.583333
USA,HUR,TOT,PC_LF,A,1969,3.508333
USA,HUR,TOT,PC_LF,A,1970,4.933333
USA,HUR,TOT,PC_LF,A,1971,5.958333
USA,HUR,TOT,PC_LF,A,1972,5.616667
USA,HUR,TOT,PC_LF,A,1973,4.891667
USA,HUR,TOT,PC_LF,A,1974,5.591667
USA,HUR,TOT,PC_LF,A,1975,8.466666
USA,HUR,TOT,PC_LF,A,1976,7.716667
USA,HUR,TOT,PC_LF,A,1977,7.066667
USA,HUR,TOT,PC_LF,A,1978,6.066667
USA,HUR,TOT,PC_LF,A,1979,5.833333
USA,HUR,TOT,PC_LF,A,1980,7.141667
USA,HUR,TOT,PC_LF,A,1981,7.6
USA,HUR,TOT,PC_LF,A,1982,9.708333
USA,HUR,TOT,PC_LF,A,1983,9.616667
USA,HUR,TOT,PC_LF,A,1984,7.525
USA,HUR,TOT,PC_LF,A,1985,7.191667
USA,HUR,TOT,PC_LF,A,1986,6.991667
USA,HUR,TOT,PC_LF,A,1987,6.191667
USA,HUR,TOT,PC_LF,A,1988,5.491667
USA,HUR,TOT,PC_LF,A,1989,5.266667
USA,HUR,TOT,PC_LF,A,1990,5.616667
USA,HUR,TOT,PC_LF,A,1991,6.816667
USA,HUR,TOT,PC_LF,A,1992,7.508333
USA,HUR,TOT,PC_LF,A,1993,6.9
USA,HUR,TOT,PC_LF,A,1994,6.083333
USA,HUR,TOT,PC_LF,A,1995,5.608333
USA,HUR,TOT,PC_LF,A,1996,5.416667
USA,HUR,TOT,PC_LF,A,1997,4.95
USA,HUR,TOT,PC_LF,A,1998,4.508333
USA,HUR,TOT,PC_LF,A,1999,4.216667
USA,HUR,TOT,PC_LF,A,2000,3.991667
USA,HUR,TOT,PC_LF,A,2001,4.733333
USA,HUR,TOT,PC_LF,A,2002,5.775
USA,HUR,TOT,PC_LF,A,2003,5.991667
USA,HUR,TOT,PC_LF,A,2004,5.533333
USA,HUR,TOT,PC_LF,A,2005,5.066667
USA,HUR,TOT,PC_LF,A,2006,4.616667
USA,HUR,TOT,PC_LF,A,2007,4.616667
USA,HUR,TOT,PC_LF,A,2008,5.775
USA,HUR,TOT,PC_LF,A,2009,9.266666
USA,HUR,TOT,PC_LF,A,2010,9.616667
USA,HUR,TOT,PC_LF,A,2011,8.95
USA,HUR,TOT,PC_LF,A,2012,8.066667
USA,HUR,TOT,PC_LF,A,2013,7.375
USA,HUR,TOT,PC_LF,A,2014,6.166667
USA,HUR,TOT,PC_LF,A,2015,5.291667
USA,HUR,TOT,PC_LF,A,2016,4.866667
USA,HUR,TOT,PC_LF,A,2017,4.35
USA,HUR,TOT,PC_LF,A,2018,3.9
USA,HUR,TOT,PC_LF,A,2019,3.666667
USA,HUR,TOT,PC_LF,A,2020,8.091666
USA,HUR,TOT,PC_LF,A,2021,5.366667
USA,HUR,TOT,PC_LF,A,2022,3.65
CAN,HUR,TOT,PC_LF,Q,1955-Q1,4.8
CAN,HUR,TOT,PC_LF,Q,1955-Q2,4.433333
CAN,HUR,TOT,PC_LF,Q,1955-Q3,4.066667
CAN,HUR,TOT,PC_LF,Q,1955-Q4,3.833333
CAN,HUR,TOT,PC_LF,Q,1956-Q1,3.7
CAN,HUR,TOT,PC_LF,Q,1956-Q2,3.366667
CAN,HUR,TOT,PC_LF,Q,1956-Q3,3.033333
CAN,HUR,TOT,PC_LF,Q,1956-Q4,3.1
CAN,HUR,TOT,PC_LF,Q,1957-Q1,3.933333
CAN,HUR,TOT,PC_LF,Q,1957-Q2,4.133333
CAN,HUR,TOT,PC_LF,Q,1957-Q3,4.933333
CAN,HUR,TOT,PC_LF,Q,1957-Q4,6
CAN,HUR,TOT,PC_LF,Q,1958-Q1,6.666667
CAN,HUR,TOT,PC_LF,Q,1958-Q2,7.266667
CAN,HUR,TOT,PC_LF,Q,1958-Q3,7.366667
CAN,HUR,TOT,PC_LF,Q,1958-Q4,7.233333
CAN,HUR,TOT,PC_LF,Q,1959-Q1,6.233333
CAN,HUR,TOT,PC_LF,Q,1959-Q2,5.9
CAN,HUR,TOT,PC_LF,Q,1959-Q3,5.6
CAN,HUR,TOT,PC_LF,Q,1959-Q4,5.766667
CAN,HUR,TOT,PC_LF,Q,1960-Q1,6.333333
CAN,HUR,TOT,PC_LF,Q,1960-Q2,6.9
CAN,HUR,TOT,PC_LF,Q,1960-Q3,7.4
CAN,HUR,TOT,PC_LF,Q,1960-Q4,7.566667
CAN,HUR,TOT,PC_LF,Q,1961-Q1,7.633333
CAN,HUR,TOT,PC_LF,Q,1961-Q2,7.533333
CAN,HUR,TOT,PC_LF,Q,1961-Q3,6.966667
CAN,HUR,TOT,PC_LF,Q,1961-Q4,6.2
CAN,HUR,TOT,PC_LF,Q,1962-Q1,6.066667
CAN,HUR,TOT,PC_LF,Q,1962-Q2,5.733333
CAN,HUR,TOT,PC_LF,Q,1962-Q3,5.8
CAN,HUR,TOT,PC_LF,Q,1962-Q4,5.866667
CAN,HUR,TOT,PC_LF,Q,1963-Q1,5.866667
CAN,HUR,TOT,PC_LF,Q,1963-Q2,5.633333
CAN,HUR,TOT,PC_LF,Q,1963-Q3,5.333333
CAN,HUR,TOT,PC_LF,Q,1963-Q4,5.1
CAN,HUR,TOT,PC_LF,Q,1964-Q1,4.866667
CAN,HUR,TOT,PC_LF,Q,1964-Q2,4.766667
CAN,HUR,TOT,PC_LF,Q,1964-Q3,4.566667
CAN,HUR,TOT,PC_LF,Q,1964-Q4,4.433333
CAN,HUR,TOT,PC_LF,Q,1965-Q1,4.133333
CAN,HUR,TOT,PC_LF,Q,1965-Q2,4.166667
CAN,HUR,TOT,PC_LF,Q,1965-Q3,3.766667
CAN,HUR,TOT,PC_LF,Q,1965-Q4,3.4
CAN,HUR,TOT,PC_LF,Q,1966-Q1,3.366667
CAN,HUR,TOT,PC_LF,Q,1966-Q2,3.1
CAN,HUR,TOT,PC_LF,Q,1966-Q3,3.433333
CAN,HUR,TOT,PC_LF,Q,1966-Q4,3.4
CAN,HUR,TOT,PC_LF,Q,1967-Q1,3.7
CAN,HUR,TOT,PC_LF,Q,1967-Q2,3.733333
CAN,HUR,TOT,PC_LF,Q,1967-Q3,3.666667
CAN,HUR,TOT,PC_LF,Q,1967-Q4,4.166667
CAN,HUR,TOT,PC_LF,Q,1968-Q1,4.433333
CAN,HUR,TOT,PC_LF,Q,1968-Q2,4.533333
CAN,HUR,TOT,PC_LF,Q,1968-Q3,4.533333
CAN,HUR,TOT,PC_LF,Q,1968-Q4,4.466667
CAN,HUR,TOT,PC_LF,Q,1969-Q1,4.266667
CAN,HUR,TOT,PC_LF,Q,1969-Q2,4.366667
CAN,HUR,TOT,PC_LF,Q,1969-Q3,4.4
CAN,HUR,TOT,PC_LF,Q,1969-Q4,4.6
CAN,HUR,TOT,PC_LF,Q,1970-Q1,4.866667
CAN,HUR,TOT,PC_LF,Q,1970-Q2,5.766667
CAN,HUR,TOT,PC_LF,Q,1970-Q3,6.166667
CAN,HUR,TOT,PC_LF,Q,1970-Q4,6.1
CAN,HUR,TOT,PC_LF,Q,1971-Q1,6.233333
CAN,HUR,TOT,PC_LF,Q,1971-Q2,6.266667
CAN,HUR,TOT,PC_LF,Q,1971-Q3,6.1
CAN,HUR,TOT,PC_LF,Q,1971-Q4,6.133333
CAN,HUR,TOT,PC_LF,Q,1972-Q1,5.966667
CAN,HUR,TOT,PC_LF,Q,1972-Q2,6.066667
CAN,HUR,TOT,PC_LF,Q,1972-Q3,6.366667
CAN,HUR,TOT,PC_LF,Q,1972-Q4,6.466667
CAN,HUR,TOT,PC_LF,Q,1973-Q1,5.866667
CAN,HUR,TOT,PC_LF,Q,1973-Q2,5.4
CAN,HUR,TOT,PC_LF,Q,1973-Q3,5.4
CAN,HUR,TOT,PC_LF,Q,1973-Q4,5.533333
CAN,HUR,TOT,PC_LF,Q,1974-Q1,5.233333
CAN,HUR,TOT,PC_LF,Q,1974-Q2,5.2
CAN,HUR,TOT,PC_LF,Q,1974-Q3,5.266667
CAN,HUR,TOT,PC_LF,Q,1974-Q4,5.666667
CAN,HUR,TOT,PC_LF,Q,1975-Q1,6.7
CAN,HUR,TOT,PC_LF,Q,1975-Q2,6.833333
CAN,HUR,TOT,PC_LF,Q,1975-Q3,6.966667
CAN,HUR,TOT,PC_LF,Q,1975-Q4,7.133333
CAN,HUR,TOT,PC_LF,Q,1976-Q1,6.933333
CAN,HUR,TOT,PC_LF,Q,1976-Q2,6.866667
CAN,HUR,TOT,PC_LF,Q,1976-Q3,7.166667
CAN,HUR,TOT,PC_LF,Q,1976-Q4,7.433333
CAN,HUR,TOT,PC_LF,Q,1977-Q1,7.766667
CAN,HUR,TOT,PC_LF,Q,1977-Q2,7.833333
CAN,HUR,TOT,PC_LF,Q,1977-Q3,8.2
CAN,HUR,TOT,PC_LF,Q,1977-Q4,8.466666
CAN,HUR,TOT,PC_LF,Q,1978-Q1,8.366667
CAN,HUR,TOT,PC_LF,Q,1978-Q2,8.466666
CAN,HUR,TOT,PC_LF,Q,1978-Q3,8.366667
CAN,HUR,TOT,PC_LF,Q,1978-Q4,8.266666
CAN,HUR,TOT,PC_LF,Q,1979-Q1,8.033334
CAN,HUR,TOT,PC_LF,Q,1979-Q2,7.666667
CAN,HUR,TOT,PC_LF,Q,1979-Q3,7.1
CAN,HUR,TOT,PC_LF,Q,1979-Q4,7.2
CAN,HUR,TOT,PC_LF,Q,1980-Q1,7.566667
CAN,HUR,TOT,PC_LF,Q,1980-Q2,7.733333
CAN,HUR,TOT,PC_LF,Q,1980-Q3,7.5
CAN,HUR,TOT,PC_LF,Q,1980-Q4,7.266667
CAN,HUR,TOT,PC_LF,Q,1981-Q1,7.4
CAN,HUR,TOT,PC_LF,Q,1981-Q2,7.166667
CAN,HUR,TOT,PC_LF,Q,1981-Q3,7.466667
CAN,HUR,TOT,PC_LF,Q,1981-Q4,8.433333
CAN,HUR,TOT,PC_LF,Q,1982-Q1,8.933333
CAN,HUR,TOT,PC_LF,Q,1982-Q2,10.4
CAN,HUR,TOT,PC_LF,Q,1982-Q3,12.1
CAN,HUR,TOT,PC_LF,Q,1982-Q4,12.96667
CAN,HUR,TOT,PC_LF,Q,1983-Q1,12.63333
CAN,HUR,TOT,PC_LF,Q,1983-Q2,12.4
CAN,HUR,TOT,PC_LF,Q,1983-Q3,11.66667
CAN,HUR,TOT,PC_LF,Q,1983-Q4,11.3
CAN,HUR,TOT,PC_LF,Q,1984-Q1,11.3
CAN,HUR,TOT,PC_LF,Q,1984-Q2,11.5
CAN,HUR,TOT,PC_LF,Q,1984-Q3,11.43333
CAN,HUR,TOT,PC_LF,Q,1984-Q4,11.26667
CAN,HUR,TOT,PC_LF,Q,1985-Q1,10.8
CAN,HUR,TOT,PC_LF,Q,1985-Q2,10.7
CAN,HUR,TOT,PC_LF,Q,1985-Q3,10.3
CAN,HUR,TOT,PC_LF,Q,1985-Q4,10.23333
CAN,HUR,TOT,PC_LF,Q,1986-Q1,9.833333
CAN,HUR,TOT,PC_LF,Q,1986-Q2,9.6
CAN,HUR,TOT,PC_LF,Q,1986-Q3,9.566667
